## Torsion are defined with the following atomIDs:
# dihed1: ai= 5371 aj= 2689 ak= 2688 al= 2687
# dihed2: ai= 2690 aj= 2684 ak= 2682 al= 2681
# dihed3: ai= 2680 aj= 2679 ak= 2677 al= 2674
# dihed4: ai= 2679 aj= 2677 ak= 2674 al= 2675
# dihed5: ai= 2676 aj= 2671 ak= 2695 al= 2694
# dihed6: ai= 2692 aj= 2691 ak= 2698 al= 2697
# dihed7: ai= 2691 aj= 2698 ak= 2697 al= 5382
# Frame#   dihed1   dihed2   dihed3   dihed4   dihed5   dihed6   dihed7
255  -17.631  -44.920   -3.169  -49.929    9.031   99.202  179.617
256   13.924  -68.189  -31.112  -25.817   41.045    6.660 -160.044
257   -9.443  -59.480  -19.463  -36.485   59.689   55.302  177.447
258   11.290  -55.371   -8.949  -33.166   45.583    9.239 -172.506
259    5.744  -67.112   -0.582  -28.797   22.812  125.048  175.581
260  -12.514  -77.902  -18.804  -36.058  -51.963  154.758  172.915
261  -45.224  -71.540   -6.177  -39.817  -24.731   62.284  162.309
262  -18.088  -66.471  -24.828  -17.776   38.238  -24.941  176.388
263   12.574  -48.679  -16.160  -31.092   50.779   11.137  173.710
264   23.023  -52.542  -16.462  -20.766  -27.908 -167.856 -178.610
265    0.932  -52.619   -2.802  -36.587   -0.908   22.876  174.693
266    5.492  -70.442   -0.256  -47.411  -38.774   -1.229 -173.996
267    8.284  -49.034   -3.457  -52.651   50.626  173.254  175.267
268  -10.169  -39.599  -13.920  -18.704   32.522  150.196 -179.381
269    7.439  -81.914    7.048  -38.487  146.082  -32.657  169.942
270  -17.677  -83.777   -1.784  -35.467 -176.466  126.149 -174.464
271    1.486  -58.482  -34.002  -22.284  114.472 -121.797  176.958
272   26.415  -70.459    0.797  -47.490 -177.998  171.667  178.237
273   18.646  -58.837   -7.181  -44.363  123.340  143.641 -174.325
274   -3.126  -70.948  -11.163  -28.270 -161.062  -32.115  164.068
275  -27.289  -43.502   -7.790  -35.383 -170.034  -98.142  173.202
276   -5.823  -64.242   -7.992  -44.189  131.564 -126.751 -167.078
277    4.105  -61.632  -22.124  -28.193  123.657  -20.269  177.276
278   -2.004  -67.911  -17.805  -37.934  126.578  -10.955 -171.717
279    3.340  -48.555  -13.447  -29.631  130.303   84.735 -172.045
280   -8.679  -50.352   -5.966  -50.054  173.607   -9.793 -177.887
281  -12.419  -78.132  -20.793  -37.030 -156.143  -72.719  171.079
282    5.693  -57.018  -25.758  -31.983 -172.797 -104.194 -178.738
283   13.474  -51.543  -14.167  -32.188 -169.885  -96.354 -171.677
284   16.719  -54.537  -18.909  -27.246 -169.197  -59.867  170.364
285   -8.955  -67.669   10.267  -30.731  128.664  162.333 -157.784
286    6.850  -64.069   -7.344  -24.231  124.289 -125.028 -169.626
287    7.989  -52.616    7.642  -40.748  130.349  167.212 -177.696
288  -19.517 -100.337   -7.870  -25.649  144.955  146.187 -168.445
289    4.001  -62.053  -13.752  -35.679  130.000 -120.829 -179.588
290  -15.700  -89.111   -6.871  -19.900  137.952 -127.349 -177.537
291   -9.210  -72.078  -26.758  -30.170  159.709 -110.280  171.453
292  -15.304  -89.489  -32.226  -19.183  134.186  169.025 -156.019
293   -2.803  -69.854  -15.639  -26.315  143.629 -166.629 -179.624
294  -12.259  -62.443  -11.154  -37.840  129.461  165.734 -178.287
295  -41.496  -63.843  -21.560  -32.683  170.589  151.108  170.010
296   10.996  -67.063  -47.009  -25.295 -157.715  154.427 -172.404
297    2.378  -44.128  -59.536    1.015 -163.033  174.226 -169.761
298  -13.238  -60.480  -24.594  -29.786 -171.704  130.702 -177.663
299   29.486  -64.731   -1.733  -29.316  178.510  151.014 -179.985
300    0.413  -64.935  -16.754  -26.462 -176.181  161.583  179.679
301   -6.715  -66.235  -43.177  -11.628 -169.445 -169.130 -175.663
302    8.326  -95.762  -29.179  -26.433 -111.290   63.372  163.384
303  -32.624  -69.623  -21.222  -39.072  -12.924  115.734 -175.856
304   -0.514 -120.736   -6.313  -38.842  -35.679 -172.659  177.097
305   -3.089  -43.712  -24.528  -32.994  -54.765 -171.636 -165.567
306  -39.104  -57.602   -5.324  -82.338  -72.409  176.911  173.928
307  -19.930  -72.453  -27.923  -29.489  -50.864 -159.465 -172.604
308  -25.168  -84.192   -0.730  -46.217  -59.554  142.182  169.985
309  -37.369  -89.801  -14.632  -32.789  -28.341   82.402  175.896
310    4.237  -60.754  -23.499  -10.819  -22.242  128.879  168.968
311   32.840  -50.901   -8.059  -33.835   18.138   90.778 -174.490
312   -8.045  -65.290  -13.343  -31.679  -55.336 -176.732 -164.072
313    8.153  -65.434  -28.587  -17.574  -19.749  142.459 -177.136
314  -15.528  -72.482  -12.666  -31.818  -51.203  166.743  175.670
315   12.302  -62.204  -33.855  -24.191  -54.537  100.419 -173.774
316  -19.817  -86.989  -27.172  -21.861  -57.107 -149.912 -175.736
317  -12.290  -79.403   -3.404  -26.116   34.160   -5.996  170.359
318    6.793  -44.637  -13.028  -45.975  -40.302  142.946 -171.042
319  -19.960  -60.115   -9.869  -41.309  -99.383  105.502  174.313
320  -23.112  -71.663  -14.471  -39.882  -50.538  168.490  176.708
321  -23.329  -68.468  -25.530  -26.194  -69.235 -174.453  179.060
322  -12.824  -71.495  -16.682  -27.600  -60.165  171.572 -169.432
323   13.504  -61.091  -13.405  -33.785  -54.370 -165.226  175.009
324    0.220  -86.781  -26.793  -30.060  -58.178 -116.519  157.036
325   22.667  -67.935  -13.385  -43.575  -39.845 -117.238 -158.894
326    7.282  -77.384   -6.124  -35.929  -44.208 -111.757 -179.170
327    7.138  -59.914    5.352  -42.470  -36.153  164.176  177.744
328  -10.873  -76.861    0.801  -57.573   23.758   -4.219  174.197
329    4.423  -74.582    4.220  -54.940   19.298  112.065  173.665
330   17.899  -52.885  -10.197  -12.428  -32.881 -138.090  164.156
331    3.730  -58.365   -9.484  -42.815   -1.310 -172.335  174.180
332  -19.047  -64.803  -24.428  -19.410    1.734   -2.687  171.248
333  -13.321  -47.272  -14.965  -11.797  -33.217  106.681  168.949
334    9.888  -61.789  -22.493  -28.623   67.732  134.344  167.519
335  -33.480  -60.652  -38.258  -22.655  170.705  -85.428  174.074
336   25.599  -65.440  -52.907   -4.125 -169.792  127.128  178.824
337   29.061  -81.277  -30.012  -11.841  179.102 -136.329  175.383
338   10.242  -64.337  -12.881  -32.740  146.170  -58.583 -167.646
339  -15.561  -79.169  -14.408  -24.514  162.643  -52.715 -179.666
340  -20.086  -71.040  -28.461  -16.711  178.174 -169.836 -168.108
341   -2.376  -65.643  -27.819  -26.697  176.568   17.124  175.441
342  -17.640  -54.044   -7.529  -43.141 -170.048   -9.250 -175.106
343  -27.539  -81.329  -20.499  -15.031 -161.625  133.714 -147.475
344   -9.017  -62.261  -22.049  -23.964 -166.988 -108.123  172.850
345  -26.968  -82.417  -12.762  -34.717  160.027   19.239  166.119
346   -4.188  -76.534    3.614  -67.859  132.198  -98.665 -165.803
347  -12.808  -98.025    3.642  -37.262  127.649   91.413 -169.350
348  -24.427  -80.706   -0.838  -23.587  121.596  -85.758  177.948
349   13.760  -62.943   -4.792  -33.507 -161.093  172.264  179.561
350   -4.824  -62.164  -20.297  -33.062  122.299  179.791  175.512
351  -33.933  -63.677   -0.571  -54.280  159.540  147.745 -175.496
352   -5.913  -73.096  -32.710  -13.327  125.708 -137.782 -174.334
353  -18.887  -80.361  -15.304  -43.008  144.598 -108.528 -168.496
354  -27.844  -57.641  -18.725  -24.934  135.484  148.874  174.871
355  -14.771  -56.715  -22.285  -26.533 -140.227  -93.962  179.671
356   13.700  -26.815   -9.707  -40.589 -157.243  -83.502 -157.033
357  -27.098  -62.314   -9.387  -56.369 -139.515  -98.524 -179.423
358   -0.661  -67.712  -22.089  -29.305 -146.174  -94.517 -153.961
359   26.984  -40.241  -16.226  -38.979 -142.432  -73.043 -163.407
360    7.139  -73.384   -4.313  -50.530 -138.868  -92.142 -146.506
361    7.539  -55.573   -8.851  -44.456 -122.395 -119.591 -168.795
362   13.247  -46.980    9.485  -37.973  159.212  -99.598  174.472
363  -19.185  -56.404   28.604 -134.176 -130.787 -100.808 -161.542
364  -22.071  -84.039  -10.029  -35.010  178.887 -104.924 -173.254
365   11.048  -71.471  -26.590  -27.797 -136.796 -102.276 -164.233
