  Frame #         RMSD         rGyr      intraHB        MolSA         SASA          PSA
      364        1.661        5.554            0      374.973      183.095      174.627
      365        1.306        5.643            0      379.053      175.047      183.954
      366        1.733        5.659            0      376.967      165.179      178.041
      367        1.391        5.595            0      376.796      194.396      179.587
      368        1.271        5.597            0      377.690      190.424      178.270
      369        1.305        5.567            0      378.073      134.254      182.388
      370        1.686        5.669            0      374.049      175.329      177.790
      371        1.624        5.707            0      380.289      170.185      185.804
      372        1.692        5.522            0      375.208      182.296      179.559
      373        1.616        5.697            0      377.829      201.321      184.922
      374        1.478        5.625            0      376.426      194.976      178.986
      375        1.624        5.746            0      378.237      216.100      183.006
      376        1.135        5.572            0      377.581      218.474      178.133
      377        1.252        5.656            0      377.021      216.373      179.109
      378        1.963        5.802            0      375.806      225.441      179.701
      379        1.394        5.690            0      378.085      239.970      179.924
      380        1.445        5.888            0      380.885      228.322      188.623
      381        1.238        5.688            0      378.777      215.447      180.153
      382        1.054        5.861            0      384.120      212.564      184.994
      383        1.363        5.544            0      375.723      179.221      188.025
      384        1.646        5.673            0      382.134      221.978      189.389
      385        1.329        5.606            0      377.655      196.492      184.567
      386        1.132        5.589            0      379.276      177.492      187.823
      387        1.170        5.588            0      379.721      199.251      187.015
      388        1.065        5.619            0      374.923      181.649      183.701
      389        1.276        5.717            0      378.119      187.876      185.317
      390        1.377        5.776            0      380.176      185.414      188.911
      391        1.099        5.524            0      374.247      168.127      186.572
      392        1.384        5.712            0      378.162      202.116      186.040
      393        1.171        5.568            0      374.784      160.806      183.747
      394        1.285        5.654            0      377.967      200.179      185.127
      395        1.274        5.686            0      378.321      181.104      187.156
      396        1.117        5.520            0      373.350      178.807      186.553
      397        1.056        5.694            0      378.164      163.978      186.379
      398        1.097        5.469            0      372.724      168.820      185.235
      399        1.299        5.561            0      376.908      174.949      185.171
      400        1.432        5.788            0      380.250      224.288      192.282
      401        1.123        5.900            0      380.251      249.996      190.383
      402        1.306        5.809            0      382.924      235.417      192.726
      403        1.354        5.891            0      379.877      229.154      185.656
      404        1.484        5.824            0      381.204      247.802      184.200
      405        1.758        5.740            0      379.169      258.691      183.556
      406        1.201        5.433            0      374.788      221.982      189.218
      407        1.348        5.516            0      376.718      169.678      185.178
      408        1.301        5.468            0      375.832      190.858      184.544
      409        1.661        5.834            0      381.441      211.482      187.481
      410        1.705        5.790            0      379.581      221.956      192.312
      411        1.155        5.747            0      379.721      207.292      188.275
      412        0.992        5.785            0      379.333      211.610      186.693
      413        1.851        5.893            0      379.335      241.495      185.739
      414        1.456        5.446            0      375.091      196.385      174.111
      415        1.293        5.363            0      375.776      194.812      190.071
      416        1.175        5.513            0      379.228      179.757      189.137
      417        1.156        5.614            0      379.888      166.864      183.762
      418        0.891        5.752            0      381.904      170.624      192.356
      419        1.108        5.672            0      380.322      166.294      188.094
      420        1.063        5.718            0      378.858      152.140      185.478
      421        0.995        5.667            0      378.912      161.353      187.160
      422        1.054        5.773            0      380.107      174.242      184.656
      423        1.089        5.639            0      381.337      167.858      188.127
      424        0.946        5.734            0      380.092      185.965      189.281
      425        0.968        5.637            0      381.259      168.528      189.211
      426        1.081        5.541            0      379.125      209.458      192.525
      427        1.027        5.704            0      380.626      157.372      188.957
      428        1.140        5.685            0      384.127      160.386      185.765
      429        1.018        5.696            0      378.932      156.640      187.117
      430        1.209        5.536            0      375.746      142.333      182.597
      431        1.141        5.458            0      376.455      170.738      178.358
      432        1.132        5.768            0      378.556      230.622      180.200
      433        1.677        5.143            0      371.787      159.830      178.464
      434        1.193        5.660            0      376.340      207.470      177.613
      435        1.242        5.617            0      379.253      208.360      183.654
      436        1.072        5.850            0      380.124      204.673      183.685
      437        1.612        5.826            0      379.404      261.406      182.955
      438        1.652        5.528            0      375.995      201.299      182.748
      439        1.166        5.628            0      373.193      222.155      173.779
      440        1.009        5.526            0      378.166      190.544      185.780
      441        1.219        5.708            0      379.881      215.375      188.710
      442        1.421        5.746            0      381.191      195.461      191.242
      443        1.994        5.653            0      383.499      182.266      190.273
      444        1.972        5.762            0      382.962      194.707      185.766
      445        1.749        5.578            0      379.009      156.553      190.423
      446        1.413        5.738            0      380.528      175.999      191.109
      447        1.250        5.690            0      381.704      171.918      188.163
      448        1.930        5.675            0      382.365      169.455      192.410
      449        2.074        5.827            0      380.215      196.231      185.583
      450        1.853        5.688            0      379.732      184.720      189.885
      451        1.805        5.638            0      378.890      153.001      193.320
      452        2.015        5.678            0      383.280      167.380      190.095
      453        1.926        5.757            0      378.333      175.791      185.442
      454        1.808        5.586            0      375.701      219.944      181.813
      455        2.337        5.278            0      375.539      184.827      183.069
      456        1.454        5.650            0      376.252      183.768      185.918
      457        1.454        5.634            0      376.083      202.064      182.662
      458        0.993        5.846            0      381.629      193.442      187.377
      459        1.031        5.873            0      379.186      195.478      191.005
      460        1.314        5.875            0      380.835      212.188      188.235
      461        1.579        5.722            0      381.314      156.066      190.132
      462        1.789        5.588            0      377.634      176.251      190.568
      463        1.720        5.789            0      381.152      160.669      193.344
      464        1.940        5.748            0      382.050      176.807      188.158
      465        1.703        5.668            0      381.919      149.798      188.630
      466        1.768        5.560            0      380.830      164.149      192.664
      467        1.990        5.751            0      380.297      165.729      186.629
      468        1.924        5.633            0      379.778      172.790      188.251
      469        1.831        5.561            0      380.225      152.434      191.470
      470        1.832        5.677            0      380.728      185.539      191.480
      471        1.927        5.592            0      375.212      165.859      178.020
      472        1.915        5.634            0      376.748      139.830      180.695
      473        1.478        5.602            0      374.362      148.415      172.941
      474        1.066        5.549            0      378.004      177.008      179.995
