@structureId,@chemicalID,@type,@molecularWeight,InChIKey,smiles
8SIH,I1K,non-polymer,609.723,BGNWKEZAKOEUDI-VBHAUSMQSA-N,[H]/N=C(\NCCCN(CCNC(=O)NCc1ccccc1)C[C@@H]2[C@H]([C@H]([C@@H](O2)n3cnc4c3ncnc4N)O)O)/NC5CCCC5
6ROL,PEG,NON-POLYMER,106.12,MTHSVFCYNBDYFN-UHFFFAOYSA-N,C(COCCO)O
7Q98,PEG,NON-POLYMER,106.12,MTHSVFCYNBDYFN-UHFFFAOYSA-N,C(COCCO)O
6QHK,PA0,NON-POLYMER,168.025,BQVCCPGCDUSGOE-UHFFFAOYSA-N,c1ccc(cc1)[As]=O
2JC9,ADN,NON-POLYMER,267.241,OIRDTQYFTABQOQ-KQYNXXCUSA-N,c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)N
2XCV,IMP,NON-POLYMER,348.206,GRSZFWQUAKGDAV-KQYNXXCUSA-N,c1nc2c(n1[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)O)O)N=CNC2=O
2XCW,ATP,NON-POLYMER,507.181,ZKHQWZAMYRWXGA-KQYNXXCUSA-N,c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO[P@@](=O)(O)O[P@](=O)(O)OP(=O)(O)O)O)O)N
2XJB,DTP,NON-POLYMER,491.182,SUYVUBYJARFZHO-RRKCRQDMSA-N,c1nc(c2c(n1)n(cn2)[C@H]3C[C@@H]([C@H](O3)CO[P@](=O)(O)O[P@@](=O)(O)OP(=O)(O)O)O)N
2XJC,B4P,NON-POLYMER,836.387,YOAHKNVSNCMZGQ-XPWFQUROSA-N,c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO[P@](=O)(O)O[P@](=O)(O)O[P@@](=O)(O)O[P@@](=O)(O)OC[C@@H]4[C@H]([C@H]([C@@H](O4)n5cnc6c5ncnc6N)O)O)O)O)N
2XJD,ATP,NON-POLYMER,507.181,ZKHQWZAMYRWXGA-KQYNXXCUSA-N,c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO[P@@](=O)(O)O[P@](=O)(O)OP(=O)(O)O)O)O)N
